Total,Batteries,Biogas,Biomass,Coal,Geothermal,Imports,Large Hydro,Gas,Nuclear,Other,Small Hydro,Solar,Wind
24208.982,626.53046,176.42029,275.30725,-0.03768116,765.52466,3887.3972,2452.771,8595.33,1876.5479,0,270.13913,3096.2463,2186.806
24368.453,596.63477,176.1971,275.11304,-0.08115942,764.7971,3744.2986,2400.8232,8507.861,1876.429,0,269.0232,3584.806,2172.5508
24421.545,435.33914,176.08696,274.92465,-0.09855072,764.5565,3562.4028,2374.0667,8425.162,1876.4869,0,268.55652,4107.0522,2157.0088
24456.766,230.9797,176.10724,274.9768,-0.08695652,764.2869,3438.1362,2345.9739,8296.794,1876.484,0,268.4145,4642.8896,2141.8086
24468.377,-17.153624,175.91594,275.08984,-0.10724638,764.0928,3322.1624,2301.3914,8175.487,1876.7362,0,268.29855,5201.1567,2125.3071
24473.436,-302.8087,175.92464,275.029,-0.11014493,764.0174,3205.7131,2262.0464,8059.171,1876.7913,0,268.1942,5783.774,2105.6929
24477.834,-542.5884,175.94203,275.16812,-0.10724638,763.87823,3067.423,2234.429,7906.3857,1876.9595,0,268.18842,6368.342,2083.8145
24483.635,-767.8203,175.93913,275.18552,-0.11884058,763.72174,2918.8086,2205.8262,7767.383,1876.9855,0,268.21448,6935.852,2063.658
24467.34,-1018.2406,175.94493,275.4087,-0.12173913,763.37683,2763.6116,2177.8347,7657.0405,1877.0348,0,268.22897,7481.974,2045.2463
24444.936,-1257.1508,175.86667,275.3913,-0.11014493,762.64056,2627.5796,2155.113,7520.78,1877.1333,0,268.28986,8011.7534,2027.6493
24421.424,-1430.4696,175.77391,275.47827,-0.09855072,762.1478,2450.5508,2115.0637,7393.3623,1877.1044,0,268.3681,8524.278,2009.8638
24419.31,-1506.597,175.85797,275.51013,-0.09565217,762.13043,2211.0986,2045.4928,7280.707,1877.3073,0,268.30145,9034.287,1995.3102
24574.516,-1560.7826,175.73044,275.91595,-0.060869563,761.7913,2159.7217,1908.6058,7108.7334,1877.3362,0,266.9826,9611.1045,1989.4376
24639.205,-1568.5392,175.67537,275.46378,-0.07826087,761.43475,1984.2115,1828.4928,6939.2466,1877.4174,0,264.47827,10119.817,1981.5854
24628.826,-1682.9247,175.64348,275.77103,-0.09855072,760.93915,1805.0289,1798.8754,6813.2114,1877.4667,0,263.86087,10572.481,1968.571
24607.977,-1856.9102,175.71014,275.629,-0.09855072,760.5739,1735.7594,1763.6145,6677.4375,1877.5942,0,263.6087,10979.841,1955.2174
24560.455,-1991.6927,175.74203,275.53043,-0.06376812,760.4377,1646.4521,1732.6232,6553.6406,1877.7565,0,263.5826,11323.866,1942.5797
24508.197,-2144.3015,175.64928,275.3739,-0.08115942,760.1768,1555.1189,1707.7421,6482.1216,1877.771,0,263.45218,11626.032,1929.1421
24474.615,-2293.739,175.6,275.67535,-0.07826087,759.92755,1474.9275,1686.171,6429.974,1877.8754,0,263.30435,11907.119,1917.8579
24432.88,-2409.4783,175.57391,275.6377,-0.09855072,759.8493,1394.1217,1657.6725,6378.9595,1877.9711,0,263.23477,12152.8,1906.6377
24373.887,-2525.4087,175.50145,275.53043,-0.09855072,759.6667,1301.7333,1638.1276,6341.855,1877.9623,0,263.23767,12369.496,1896.284
24314.223,-2625.8,175.53912,275.49567,-0.104347825,759.50146,1210.371,1617.1624,6311.971,1878.0521,0,263.27826,12561.632,1887.1246
24247.604,-2678.0059,175.4,275,-0.09855072,759.2985,1086.8,1596.7653,6278.293,1878.0029,0,263.35364,12736.006,1876.7885
24182.53,-2684.192,175.4622,274.59012,-0.0872093,759.093,944.8808,1561.064,6239.814,1876.9767,0,263.15988,12905.181,1866.5872
24220.531,-2714.311,175.34302,275.28778,-0.069767445,759.01746,950.5407,1495.5494,6153.5,1876.9564,0,260.8779,13122.398,1865.4419
24192.346,-2666.7092,175.29361,274.99127,-0.093023255,758.7907,876.5407,1450.1802,6034.7993,1876.907,0,256.64246,13290.985,1864.0175
24118.691,-2668.9739,175.20058,275.01163,-0.08139535,758.40405,758.94476,1432.657,5972.4272,1876.9128,0,255.61627,13424.887,1857.686
24042.363,-2737.067,175.19186,275.0407,-0.08139535,758.032,710.35175,1416.8866,5933.253,1876.9419,0,255.42732,13525.559,1852.8285
23960.826,-2801.785,175.18895,275.2907,-0.06686047,757.7413,648.76166,1396.1774,5905.7793,1876.9099,0,255.46512,13624.113,1847.25
23875.195,-2875.41,175.23546,275.38373,-0.06395349,757.2878,596.7529,1376.2704,5892.7793,1876.9448,0,255.43895,13704.282,1840.2936
23793.133,-2937.84,175.26744,275.77908,-0.08430233,757.1047,537.70056,1366.8634,5889.9854,1876.9302,0,255.49419,13766.006,1829.9274
23723.645,-2968.215,175.34883,275.72385,-0.09011628,756.82556,476.9215,1357.529,5878.561,1876.8344,0,255.43024,13820.178,1818.5989
23640.586,-3012.1807,175.42566,276.0175,-0.0787172,756.32654,409.06998,1351.5918,5854.799,1881.0758,0,255.59767,13877.399,1815.5422
23562.283,-3058.9795,175.39359,276.0554,-0.09037901,755.70264,354.74054,1344.1458,5838.825,1880.9242,0,255.6239,13932.263,1807.6793
23486.668,-3084.3179,175.414,275.71136,-0.08454811,755.1137,288.03207,1336.0729,5815.997,1880.9183,0,255.67346,13987.053,1801.0846
23432.477,-3106.341,175.3815,275.263,-0.098265894,755.15607,210.90173,1319.4191,5817.3037,1878.9509,0,255.45087,14054.647,1796.4421
23415.725,-3313.5288,175.44508,275.8266,-0.07225434,755.18207,274.78033,1302.7544,5812.581,1878.5289,0,254.66185,14201.928,1797.6387
23390,-3392.133,175.36127,275.74277,-0.07514451,754.99713,258.71677,1295.2832,5796.3755,1878.5144,0,252.99422,14296.807,1797.4161
23330.785,-3413.159,175.14452,276.1185,-0.09248555,754.4682,185.49133,1293.2832,5781.399,1878.5463,0,252.35548,14352.093,1795.1387
23275.006,-3447.2227,175.14452,276.27747,-0.07514451,754.38153,144.62428,1293.078,5771.1963,1878.3179,0,252.0896,14383.578,1793.6156
23200.848,-3448.9104,175.2919,276.53757,-0.06069364,754.19366,94.82081,1277.4567,5757.159,1878.7428,0,252.19363,14394.674,1788.7485
23134.107,-3456.5461,175.27457,276.66183,-0.07225434,753.95667,47.421967,1263.37,5747.7773,1878.7312,0,252.263,14412.78,1782.4884
23055.107,-3484.393,175.31213,277.526,-0.07514451,753.99713,1.9017341,1260.0636,5739.766,1878.7255,0,252.18787,14421.731,1778.3641
23010.807,-3489.5435,175.39017,277.37283,-0.08959538,753.90173,-40.754333,1257.4364,5736.419,1878.7196,0,252.23122,14436.798,1772.9248
22962.11,-3506.841,175.44508,277.1474,-0.0867052,753.69653,-98.84971,1254.1821,5743.3467,1878.7601,0,252.24567,14462.391,1770.6735
22906.633,-3504.1475,175.49712,277.0578,-0.078034684,753.2052,-144.46532,1248,5742.341,1878.6099,0,252.33527,14458.249,1770.0289
22861.055,-3487.7688,175.44798,276.4422,-0.07225434,753.211,-196.77745,1239.2977,5735.5117,1878.5029,0,252.31213,14464.196,1770.7515
22813.521,-3480.7407,175.42075,276.19308,-0.08933718,752.75214,-247.36023,1219.9596,5728.4985,1879.5908,0,252.24208,14486.043,1771.0115
22785.75,-3608.7146,175.40634,276.19308,-0.077809796,752.82135,-199.10951,1195.6887,5726.974,1879.5476,0,251.75217,14558.793,1776.4755
22772.729,-3613.3545,175.43228,275.9049,-0.08933718,752.7954,-196.00577,1180.4034,5705.285,1879.4323,0,251.34006,14582.545,1779.0404
22741.69,-3576.0347,175.44669,276.07492,-0.08357349,752.7118,-253.81557,1177.3516,5695.5503,1879.3516,0,251.46397,14585.651,1778.0201
22716.438,-3571.4985,175.42075,276.11526,-0.1037464,752.37177,-279.82996,1178.366,5692.3574,1879.2622,0,251.53603,14583.507,1778.9337
22681.975,-3517.6167,175.45245,276.32852,-0.07204611,752.1614,-330.0144,1168.4034,5683.4263,1879.219,0,251.56772,14564.588,1778.5303
22667.932,-3485.8328,175.39769,275.84726,-0.077809796,751.6023,-369.12393,1156.487,5689.66,1879.1758,0,251.53891,14562.911,1780.3458
22641.637,-3484.1038,175.37752,275.7003,-0.063400574,751.41785,-406.61096,1152.389,5695.0806,1879.1355,0,251.4928,14568.916,1782.9049
22644.94,-3451.3142,175.366,275.83286,-0.08357349,751.4553,-440.6052,1148.6427,5701.951,1878.9943,0,251.48415,14567.069,1786.147
22638.174,-3404.9136,175.45534,275.82422,-0.077809796,751.34296,-498.37463,1145.6859,5710.0576,1878.8617,0,251.48415,14564.306,1788.5216
22641.268,-3370.4985,175.60806,275.58212,-0.08069164,750.9654,-545.9712,1148.4841,5721.758,1878.7435,0,251.5418,14563.424,1791.7118
